TSS_position,TSS_strand,TSS_reads,sigma_binding,found_motif, binding+motif,TU_ID,first_gene,genes
144560,+,307,D,DSF,D,TU_Ecoli-0125,yadI,yadI
145055,+,8,DS,DSNFE,DS,TU_Ecoli-0126,yadE,yadE
146754,-,388,D,DSF,D,TU_Ecoli-0127,panD,panD
146793,+,18,D,DSNFE,D,TU_Ecoli-0128,yadD,yadD
146940,+,9,D,DNHF,D,TU_Ecoli-0129,yadD,yadD
147006,-,60,D,SNHF,,TU_Ecoli-0130,panD,panD
149256,-,103,DS,DSNF,DS,TU_Ecoli-0131,panC,panC
149265,-,291,DS,DSNF,DS,TU_Ecoli-0132,panC,panC
149306,-,9,DS,DNHFE,D,TU_Ecoli-0133,panC,panC
149317,-,19,DS,DSNHFE,DS,TU_Ecoli-0134,panC,panC
149469,-,9,DS,DSNH,DS,TU_Ecoli-0135,panC,panC
149481,-,11,DS,DNF,D,TU_Ecoli-0136,panC,panC
149630,-,1242,DS,DSNHFE,DS,TU_Ecoli-0137,panB,panB;panC
149702,-,19,DS,DSFE,DS,TU_Ecoli-0138,panB,panB;panC
152563,-,9,S,DSNE,S,TU_Ecoli-0139,yadL,yadL;yadK
159172,-,271,DS,DSNHFE,DS,TU_Ecoli-0140,pcnB,pcnB;folK
159214,-,6,DS,NHFE,,TU_Ecoli-0141,pcnB,pcnB;folK
159390,-,22,DS,DSNHE,DS,TU_Ecoli-0142,pcnB,pcnB;folK
160467,-,25,DS,DSNF,DS,TU_Ecoli-0143,yadB,yadB
160478,-,176,DS,NH,,TU_Ecoli-0144,yadB,yadB
160574,-,31,DS,F,,TU_Ecoli-0145,yadB,yadB
160657,-,129,DS,DSNH,DS,TU_Ecoli-0146,dksA,dksA;yadB
160694,-,7,DS,DSHF,DS,TU_Ecoli-0147,dksA,dksA;yadB
160758,-,173,DS,DN,D,TU_Ecoli-0148,dksA,dksA;yadB
160767,-,60,DS,DSNHE,DS,TU_Ecoli-0149,dksA,dksA;yadB
161078,-,377,DS,DSNHF,DS,TU_Ecoli-0150,dksA,dksA;yadB
161495,-,5,DH,HE,H,TU_Ecoli-0151,sfsA,sfsA
161648,-,10,DH,DSHE,DH,TU_Ecoli-0152,sfsA,sfsA
161665,+,161,DH,DSNH,DH,TU_Ecoli-0153,hrpB,hrpB
162053,-,40,DH,DSHF,DH,TU_Ecoli-0154,ligT,ligT;sfsA
162077,+,1426,DH,DSNHF,DH,TU_Ecoli-0155,hrpB,hrpB
164551,+,5,D,E,,TU_Ecoli-0156,mrcB,mrcB
164574,+,12,D,HE,,TU_Ecoli-0157,mrcB,mrcB
169769,+,8,H,NHF,H,TU_Ecoli-0158,fhuC,fhuC;fhuD;fhuB
174919,-,43,DS,DSNE,DS,TU_Ecoli-0159,hemL,hemL
174990,-,252,DS,DSNHFE,DS,TU_Ecoli-0160,hemL,hemL
175012,+,289,DS,DNHE,D,TU_Ecoli-0161,clcA,clcA
175048,+,18,DS,DSNHFE,DS,TU_Ecoli-0162,clcA,clcA
175074,+,48,DS,DN,D,TU_Ecoli-0163,clcA,clcA
176183,+,9,DS,DSNHF,DS,TU_Ecoli-0164,erpA,erpA
176324,+,30,DS,SNH,S,TU_Ecoli-0165,erpA,erpA
176561,+,472,DS,DE,D,TU_Ecoli-0166,erpA,erpA
176583,+,109,DS,DSNF,DS,TU_Ecoli-0167,erpA,erpA
176592,+,23,DS,DSNH,DS,TU_Ecoli-0168,erpA,erpA
179181,-,29,D,DSF,D,TU_Ecoli-0169,mtn,mtn;btuF;yadS
179198,+,70,D,DSNHFE,D,TU_Ecoli-0170,dgt,dgt
179338,-,153,D,DNF,D,TU_Ecoli-0171,mtn,mtn;btuF;yadS
180837,+,28,SE,DHFE,E,TU_Ecoli-0172,degP,degP;cdaR
180844,+,20,SE,DHFE,E,TU_Ecoli-0173,degP,degP;cdaR
184114,-,27,DS,DSNHF,DS,TU_Ecoli-0174,yaeH,yaeH
184124,-,9,DS,DNF,D,TU_Ecoli-0175,yaeH,yaeH
184193,-,28,DS,DSNHFE,DS,TU_Ecoli-0176,yaeH,yaeH
184610,-,10,DS,DSNF,DS,TU_Ecoli-0177,yaeH,yaeH
185976,-,36,DSH,NHFE,H,TU_Ecoli-0178,dapD,dapD
186250,-,5,DSH,DSHF,DSH,TU_Ecoli-0179,dapD,dapD
186269,-,57,DSH,H,H,TU_Ecoli-0180,dapD,dapD
188783,-,4341,S,DSN,S,TU_Ecoli-0181,glnD,glnD
189532,-,159,DSH,DSNHF,DSH,TU_Ecoli-0182,map,map;glnD
189553,-,406,DSH,DSF,DS,TU_Ecoli-0183,map,map;glnD
189641,+,320,DSH,DSNHFE,DSH,TU_Ecoli-0184,tff,tff
189712,+,366,DSH,DNFE,D,TU_Ecoli-0185,tff,tff
189757,+,307,DSH,DSHFE,DSH,TU_Ecoli-0186,rpsB,rpsB;tsf
189763,+,74,DSH,DFE,D,TU_Ecoli-0187,rpsB,rpsB;tsf
189775,+,100,DSH,DSNHFE,DSH,TU_Ecoli-0188,rpsB,rpsB;tsf
189792,+,87,DSH,E,,TU_Ecoli-0189,rpsB,rpsB;tsf
189843,-,38,DSH,DSHFE,DSH,TU_Ecoli-0190,map,map;glnD
189874,+,87,DSH,DSNHFE,DSH,TU_Ecoli-0191,rpsB,rpsB;tsf
192617,+,63,DS,DSNHFE,DS,TU_Ecoli-0192,frr,frr;dxr
192797,+,34,DS,DSHFE,DS,TU_Ecoli-0193,frr,frr;dxr
192814,+,806,DS,DSNHE,DS,TU_Ecoli-0194,frr,frr;dxr
192973,+,8,DS,DSH,DS,TU_Ecoli-0195,dxr,dxr
193005,+,8,DS,,,TU_Ecoli-0196,dxr,dxr
193016,+,16,DS,DN,D,TU_Ecoli-0197,dxr,dxr
194619,+,35,D,DSFE,D,TU_Ecoli-0198,ispU,ispU;cdsA
194669,+,9,D,NFE,,TU_Ecoli-0199,ispU,ispU;cdsA
194750,+,12,D,DSNHE,D,TU_Ecoli-0200,ispU,ispU;cdsA
194784,+,166,D,DSNE,D,TU_Ecoli-0201,ispU,ispU;cdsA
196296,+,7,DE,DSNFE,DE,TU_Ecoli-0202,rseP,rseP;bamA
197299,+,26,DE,DSNHF,D,TU_Ecoli-0203,bamA,bamA
197371,+,23,DE,DSNHE,DE,TU_Ecoli-0204,bamA,bamA
197495,+,115,DE,HFE,E,TU_Ecoli-0205,bamA,bamA
197519,+,16,DE,DSH,D,TU_Ecoli-0206,bamA,bamA
197572,+,13,DE,NF,,TU_Ecoli-0207,bamA,bamA
197590,+,103,DE,DSNHFE,DE,TU_Ecoli-0208,bamA,bamA
200212,+,125,SE,DSNHE,SE,TU_Ecoli-0209,hlpA,hlpA;lpxD
200399,+,61,SE,DNHF,,TU_Ecoli-0210,hlpA,hlpA;lpxD
200691,+,11,E,DSNHF,,TU_Ecoli-0211,lpxD,lpxD
200878,+,24,E,DNF,,TU_Ecoli-0212,lpxD,lpxD
201484,+,108,DS,DSHFE,DS,TU_Ecoli-0213,fabZ,fabZ;lpxA;lpxB;rnhB;dnaE
201517,+,29,DS,NHFE,,TU_Ecoli-0214,fabZ,fabZ;lpxA;lpxB;rnhB;dnaE
201577,+,24,DS,DSNHE,DS,TU_Ecoli-0215,fabZ,fabZ;lpxA;lpxB;rnhB;dnaE
201715,+,32,DS,DNHFE,D,TU_Ecoli-0216,fabZ,fabZ;lpxA;lpxB;rnhB;dnaE
202110,+,9,DS,DSNHF,DS,TU_Ecoli-0217,lpxA,lpxA;lpxB;rnhB;dnaE
202136,+,44,DS,DSHFE,DS,TU_Ecoli-0218,lpxA,lpxA;lpxB;rnhB;dnaE
208276,+,955,D,DSNHFE,D,TU_Ecoli-0219,accA,accA
208412,+,111,D,DSNHF,D,TU_Ecoli-0220,accA,accA
209658,+,1381,S,DS,S,TU_Ecoli-0221,ldcC,ldcC
211581,+,10,DS,DNHFE,D,TU_Ecoli-0222,yaeR,yaeR;tilS
211618,+,11,DS,DNE,D,TU_Ecoli-0223,yaeR,yaeR;tilS
211630,+,6,DS,DSNHFE,DS,TU_Ecoli-0224,yaeR,yaeR;tilS
212306,+,1464,DS,DSNHF,DS,TU_Ecoli-0225,tilS,tilS
213933,-,19,D,DSNF,D,TU_Ecoli-0226,rof,rof
214052,-,10,D,DNF,D,TU_Ecoli-0227,rof,rof
214163,-,11,D,DSNFE,D,TU_Ecoli-0228,yaeP,yaeP;rof
214196,+,42,D,DSHF,D,TU_Ecoli-0229,yaeQ,yaeQ;yaeJ;nlpE
214197,-,151,D,DSN,D,TU_Ecoli-0230,yaeP,yaeP;rof
214271,+,9,D,DSHFE,D,TU_Ecoli-0231,yaeQ,yaeQ;yaeJ;nlpE
214320,+,18,D,DSNHFE,D,TU_Ecoli-0232,yaeJ,yaeJ;nlpE
214396,+,10,D,DSNHF,D,TU_Ecoli-0233,yaeJ,yaeJ;nlpE
214621,+,61,D,DSNHFE,D,TU_Ecoli-0234,yaeJ,yaeJ;nlpE
218831,-,124,DS,DSNFE,DS,TU_Ecoli-0235,proS,proS
218837,-,125,DS,DSNFE,DS,TU_Ecoli-0236,proS,proS
218928,-,189,DS,DSN,DS,TU_Ecoli-0237,proS,proS
218988,-,529,DS,DSNHFE,DS,TU_Ecoli-0238,proS,proS
219825,-,9,D,SNFE,,TU_Ecoli-0239,yaeB,yaeB
219962,-,5,D,SFE,,TU_Ecoli-0240,yaeB,yaeB
219982,-,9,D,DSNHF,D,TU_Ecoli-0241,yaeB,yaeB
219991,-,14,D,DSNHFE,D,TU_Ecoli-0242,yaeB,yaeB
220000,-,26,D,DSHFE,D,TU_Ecoli-0243,rcsF,rcsF;yaeB
220022,-,115,D,DSNHE,D,TU_Ecoli-0244,rcsF,rcsF;yaeB
220072,-,34,D,DSNHFE,D,TU_Ecoli-0245,rcsF,rcsF;yaeB
222714,-,583,D,DSNHFE,D,TU_Ecoli-0246,metN,metN;metI;metQ
222806,+,54,D,DNF,D,TU_Ecoli-0247,gmhB,gmhB
231063,+,67,DSH,DSNFE,DS,TU_Ecoli-0248,yafD,yafD;yafE
231072,+,30,DSH,DSNHFE,DSH,TU_Ecoli-0249,yafD,yafD;yafE
231296,-,77,DSH,DSNFE,DS,TU_Ecoli-0250,yafC,yafC
231396,+,6,DSH,DSN,DS,TU_Ecoli-0251,yafE,yafE
231403,+,6,DSH,DNF,D,TU_Ecoli-0252,yafE,yafE
231407,+,6,DSH,DSNHF,DSH,TU_Ecoli-0253,yafE,yafE
234785,+,225,DN,DSNF,DN,TU_Ecoli-0254,yafS,yafS
234847,-,12,DN,DH,D,TU_Ecoli-0255,gloB,gloB
234858,-,8,DN,DH,D,TU_Ecoli-0256,gloB,gloB
235091,-,5,DN,NF,N,TU_Ecoli-0257,gloB,gloB
236021,+,203,D,DSNHE,D,TU_Ecoli-0258,dnaQ,dnaQ
236027,+,35,D,DSNHFE,D,TU_Ecoli-0259,dnaQ,dnaQ
236117,-,20,D,DSNH,D,TU_Ecoli-0260,rnhA,rnhA
239258,-,11,NH,DSNHFE,NH,TU_Ecoli-0261,yafU,yafU;ykfM
239755,-,7,DS,SNF,S,TU_Ecoli-0262,yafU,yafU;ykfM
240115,+,44,DS,DHFE,D,TU_Ecoli-0263,ivy,ivy
240216,-,148,DS,DSFE,DS,TU_Ecoli-0264,yafV,yafV
240301,+,11,DS,DSNHFE,DS,TU_Ecoli-0265,ivy,ivy
240333,+,66,DS,DSNHE,DS,TU_Ecoli-0266,ivy,ivy
243364,-,760,DS,DSNHFE,DS,TU_Ecoli-0267,fadE,fadE
243400,+,15,DS,DSHFE,DS,TU_Ecoli-0268,lpcA,lpcA;yafJ
243512,+,19,DS,DSNFE,DS,TU_Ecoli-0269,lpcA,lpcA;yafJ
245870,-,5,DSH,DSNHF,DSH,TU_Ecoli-0270,yafK,yafK
245884,-,187,DSH,DSNHFE,DSH,TU_Ecoli-0271,yafK,yafK
246030,+,10,DSH,DSHFE,DSH,TU_Ecoli-0272,yafL,yafL;yafM
246387,+,13,DSH,SH,SH,TU_Ecoli-0273,yafL,yafL;yafM
246431,-,10,DSH,FE,,TU_Ecoli-0274,yafQ,yafQ
246446,-,32,DSH,FE,,TU_Ecoli-0275,yafQ,yafQ
246458,-,27,DSH,HFE,H,TU_Ecoli-0276,yafQ,yafQ
246482,-,15,DSH,SNFE,S,TU_Ecoli-0277,yafQ,yafQ
246492,-,36,DSH,FE,,TU_Ecoli-0278,yafQ,yafQ
246501,-,26,DSH,DSFE,DS,TU_Ecoli-0279,yafQ,yafQ
246508,-,65,DSH,DSNHE,DSH,TU_Ecoli-0280,dinJ,dinJ;yafQ
246533,-,8,DSH,DSNHF,DSH,TU_Ecoli-0281,dinJ,dinJ;yafQ
246854,-,5,DSH,DSNE,DS,TU_Ecoli-0282,dinJ,dinJ;yafQ
252571,+,7,D,DSNF,D,TU_Ecoli-0283,yafP,yafP
255682,+,32,DS,DSNHE,DS,TU_Ecoli-0284,gpt,gpt
255807,-,8884,DS,DSNFE,DS,TU_Ecoli-0285,pepD,pepD
255918,+,38,DS,DSNHE,DS,TU_Ecoli-0286,gpt,gpt
255955,+,7,DS,SHE,S,TU_Ecoli-0287,gpt,gpt
255975,+,17,DS,DSH,DS,TU_Ecoli-0288,gpt,gpt
255988,+,217,DS,DNHFE,D,TU_Ecoli-0289,frsA,frsA
257810,+,2976,DN,DSNHFE,DN,TU_Ecoli-0290,crl,crl
259256,+,6,DS,DSNHFE,DS,TU_Ecoli-0291,proB,proB;proA
259463,+,5,DS,DSNFE,DS,TU_Ecoli-0292,proB,proB;proA
259602,+,178,DS,DSNHE,DS,TU_Ecoli-0293,proB,proB;proA
265092,-,7,S,DSNHFE,S,TU_Ecoli-0294,ykfF,ykfF;yafX;ykfG;ykfH;yafW;ykfI;ykfN
265294,-,7,S,SNFE,S,TU_Ecoli-0295,ykfF,ykfF;yafX;ykfG;ykfH;yafW;ykfI;ykfN
268690,-,14,DS,SN,S,TU_Ecoli-0296,ykfA,ykfA
269584,+,7,D,HFE,,TU_Ecoli-0297,insI-1,insI-1
269599,+,6,D,F,,TU_Ecoli-0298,insI-1,insI-1
274510,+,13,DS,DSNHE,DS,TU_Ecoli-0299,mmuP,mmuP;mmuM
274549,+,9,DS,DSHFE,DS,TU_Ecoli-0300,mmuP,mmuP;mmuM
288412,-,119,D,DSNHFE,D,TU_Ecoli-0301,yagI,yagI
289564,-,489,DSH,DSNH,DSH,TU_Ecoli-0302,argF,argF
290655,-,5,D,DSHE,D,TU_Ecoli-0303,insAB-3,insAB-3
294501,-,11,DS,SHF,S,TU_Ecoli-0304,yagM,yagM;yagL
294546,-,18,DS,DNFE,D,TU_Ecoli-0305,yagM,yagM;yagL
294703,-,382,DS,SHE,S,TU_Ecoli-0306,yagM,yagM;yagL
294844,-,175,DS,DSFE,DS,TU_Ecoli-0307,yagN,yagN
302198,+,285,DS,DSHE,DS,TU_Ecoli-0308,yagU,yagU
303520,-,6,D,DSHFE,D,TU_Ecoli-0309,ykgJ,ykgJ
303751,-,13,D,DSNHFE,D,TU_Ecoli-0310,ykgJ,ykgJ
311221,+,80,D,DSNHFE,D,TU_Ecoli-0311,ykgL,ykgL
311877,-,158,D,NHF,,TU_Ecoli-0312,ykgO,ykgO
311893,-,329,D,HE,,TU_Ecoli-0313,ykgO,ykgO
311911,-,34,D,DNHE,D,TU_Ecoli-0314,ykgO,ykgO
311917,-,218,D,DSNE,D,TU_Ecoli-0315,ykgO,ykgO
311924,-,260,D,DSE,D,TU_Ecoli-0316,ykgO,ykgO
312019,-,15,D,DSNHE,D,TU_Ecoli-0317,ykgM,ykgM;ykgO
312027,-,33,D,DSNHE,D,TU_Ecoli-0318,ykgM,ykgM;ykgO
318002,-,17,D,DSHFE,D,TU_Ecoli-0319,ykgI,ykgI;ykgB
328585,-,47,D,DSHFE,D,TU_Ecoli-0320,betI,betI;betB;betA
331476,+,163,DS,DSNHF,DS,TU_Ecoli-0321,yahA,yahA
331503,+,8,DS,DSNF,DS,TU_Ecoli-0322,yahA,yahA
340336,+,5,D,DSNHE,D,TU_Ecoli-0323,yahJ,yahJ
342042,+,114,D,DSNHFE,D,TU_Ecoli-0324,yahK,yahK
342062,+,6,D,DNF,D,TU_Ecoli-0325,yahK,yahK
344478,+,81,DS,DSNHFE,DS,TU_Ecoli-0326,yahM,yahM
344574,+,18,DS,DNHFE,D,TU_Ecoli-0327,yahM,yahM
345656,+,2443,SH,SNHFE,SH,TU_Ecoli-0328,yahO,yahO
347693,-,165,SN,DSNHFE,SN,TU_Ecoli-0329,prpR,prpR
362630,-,15,D,DSHF,D,TU_Ecoli-0330,lacY,lacY;lacA
366750,-,65,D,DNHF,D,TU_Ecoli-0331,lacI,lacI
366762,-,227,D,DNF,D,TU_Ecoli-0332,lacI,lacI
367672,+,151,S,DSNHE,S,TU_Ecoli-0333,mhpA,mhpA;mhpB;mhpC;mhpD;mhpF;mhpE
